Year,Week,Position,Title,Artist,Spotify_title,Spotify_artist,Spotify_artist_id,Duration,Spotify_popularity,Album_name,Release_date,Genres
2016,28,1,Can't stop the feeling!,JT,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,31TPClRtHm23RisEBtV3X7,237546.0,72.0,TROLLS (Original Motion Picture Soundtrack),2016-09-23,"dance pop, pop"
2016,28,2,One dance,"Drake, Wizkid, Kyla",One Dance,"Drake, Wizkid, Kyla",3TVXtAsR1Inumwj472S9r4 3tVQdUvClmAT7URs9V3rsp 77DAFfvm3O9zT5dIoG0eIO,173986.0,85.0,Views,2016-05-06,"canadian hip hop, canadian pop, hip hop, rap, toronto rap, afro dancehall, afropop, azonto, nigerian hip hop, nigerian pop, uk funky"
2016,28,3,Don't let me down,"The Chainsmokers, Daya",Don't Let Me Down,"The Chainsmokers, Daya",69GGBxA162lTqCwzJG5jLp 6Dd3NScHWwnW6obMFbl1BH,208373.0,79.0,Don't Let Me Down,2016-02-05,"dance pop, edm, electropop, pop, pop dance, tropical house, alt z, dance pop, edm, electropop, pop, pop dance, post-teen pop, tropical house"
2016,28,4,Cheap thrills,Sia feat Sean Paul,Cheap Thrills (feat. Sean Paul),"Sia, Sean Paul",5WUlDfRSoLAfcVSX1WnrxN 3Isy6kedDrgPYoTS1dazA9,224493.0,63.0,This Is Acting (Deluxe Version),2016-10-21,"australian dance, australian pop, dance pop, pop, dance pop, dancehall, pop rap"
2016,28,5,This is what you came for,"Calvin Harris, Rihanna",This Is What You Came For,"Calvin Harris, Rihanna",7CajNmpbOovFoOoasH2HaY 5pKCCKE2ajJHZ9KAiaK11H,222160.0,81.0,This Is What You Came For,2016-04-29,"dance pop, edm, electro house, house, pop, progressive house, uk dance, barbadian pop, dance pop, pop, urban contemporary"
2016,28,6,I took a pill in Ibiza - SeeB remix,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",2KsP6tYLJlTBvSUxnwlVWa 5iNrZmtVMtYev5M9yoWpEq,197933.0,72.0,"At Night, Alone.",2016-05-06,"dance pop, edm, pop, pop rap, dance pop, edm, electro house, norwegian pop, pop, pop dance, pop edm, tropical house"
2016,28,7,Panda,Desiigner,Panda,Desiigner,7pFeBzX627ff0VnN6bxPR4,247866.0,67.0,Panda,2016-02-26,"pop rap, rap, trap, underground hip hop, viral trap"
2016,28,8,Work from home,"Fifth Harmony, Ty Dolla $ign",Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",1l8Fu6IkuTP0U5QetQJ5Xt 7c0XG5cIJTrrAgEC3ULPiq,214480.0,75.0,7/27 (Deluxe),2016-05-27,"dance pop, girl group, pop, post-teen pop, talent show, dance pop, hip hop, pop, pop rap, r&b, southern hip hop, trap, trap soul"
2016,28,9,Send my love (to your new lover),Adele,Send My Love (To Your New Lover),Adele,4dpARuHxo51G3z768sgnrY,223078.0,72.0,25,2015-11-20,"british soul, pop, pop soul, uk pop"
2016,28,10,7 years,Lukas Graham,7 Years,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,237300.0,79.0,Lukas Graham,2016-04-01,"danish pop, pop, scandipop"
2016,28,11,Stressed out,Twentyøne Piløts,Stressed Out,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,202333.0,84.0,Blurryface,2015-05-15,"modern rock, rock"
2016,28,12,This girl,Kungs vs Cookin' On 3 Burners,This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",7keGfmQR4X5w0two1xKZ7d 726MxZBpkxnnoKl6aN7mmj,195546.0,76.0,Layers,2016-11-04,"edm, pop dance, tropical house, bboy, funk, instrumental funk, modern funk"
2016,28,13,Faded,Alan Walker,Faded,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,212106.0,79.0,Different World,2018-12-14,electro house
2016,28,14,This one's for you,"David Guetta, Zara Larsson",This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,207272.0,67.0,This One's for You (feat. Zara Larsson) [Official Song UEFA EURO 2016],2016-05-13,"big room, dance pop, edm, pop, pop dance"
2016,28,15,Ride,Twentyøne Piløts,Ride,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,214506.0,81.0,Blurryface,2015-05-15,"modern rock, rock"
2016,28,16,Treat you better,Shawn Mendes,Treat You Better,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,187973.0,83.0,Illuminate,2017-04-20,"canadian pop, dance pop, pop, viral pop"
2016,28,17,Dangerous woman,Ariana Grande,Dangerous Woman,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,235946.0,67.0,Dangerous Woman,2016-05-20,"dance pop, pop"
2016,28,18,Hymn for the weekend,Coldplay,Hymn for the Weekend,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,258266.0,84.0,A Head Full of Dreams,2015-12-04,"permanent wave, pop"
2016,28,19,Just like fire,P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,1KCSPY1glIKqW2TotWuXOR,215413.0,68.0,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",2016-04-15,"dance pop, pop"
2016,28,20,I hate u I love u,"Gnash, Olivia O'Brien","i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",3iri9nBFs9e4wN7PLIetAw 1QRj3hoop9Mv5VvHQkwPEp,251033.0,77.0,us,2016-03-25,"pop, alt z, dance pop, electropop, pop, post-teen pop"
2016,28,21,Dont mind,Kent Jones,Don't Mind,Kent Jones,3jHBxvZ9gbBkZ17wKUqVsO,198236.0,62.0,Don't Mind,2016-04-25,"miami hip hop, viral trap"
2016,28,22,Work,Rihanna feat Drake,Work (In the Style of Rihanna feat. Drake) [Karaoke Version],Instrumental King,4MBhcPOdlrMsmhLC4tOKs6,208695.0,3.0,R&B Chart Favorites,2018-05-30,
2016,28,23,Cake by the ocean,DNCE,Cake By The Ocean,DNCE,6T5tfhQCknKG4UnH90qGnz,219146.0,81.0,DNCE,2016-11-18,"dance pop, edm, pop, post-teen pop"
2016,28,24,Never forget you,"Zara Larsson, MNEK",Never Forget You (Zara Larsson & MNEK) - Remix,Hasan Shomar,2yFokZZQiUKmsp9oeW9AtU,256026.0,25.0,Never Forget You (Zara Larsson & MNEK) [Remix],2021-01-20,
2016,28,25,"Me, myself & I","G-Eazy, Bebe Rexha","Me, Myself & I","G-Eazy, Bebe Rexha",02kJSzxNuaWGqwubyUba0Z 64M6ah0SkkRsnPGtGiRAbb,251466.0,77.0,When It's Dark Out,2015-12-04,"indie pop rap, oakland hip hop, pop, pop rap, rap, dance pop, edm, pop, post-teen pop"
2016,28,26,Needed me,Rihanna,Needed Me,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,191600.0,81.0,ANTI (Deluxe),2016-01-28,"barbadian pop, dance pop, pop, urban contemporary"
